module_id,module_name,family,analysis_coverage,live_coverage,screenshot_coverage,confidence,mutation_risk,evidence_ids,known,unknown,next_evidence
M01,应用启动,bootstrap_content,documented,not_observed,partial,C3,medium,"AN-001;AN-002;AN-007;SH-001","存在启动与进入流程边界","真实启动状态机、错误态和耗时","只在无需退出账号时观察自然冷启动；当前不执行"
M02,资产更新与内容分发,bootstrap_content,documented,not_observed,none,C2,high,"AN-001;AN-002;AN-007;AN-008","存在目录、版本与内容分发边界","签名、下载、修复和失败恢复细节","需要离线原创内容目录测试替身，不操作参考游戏修复"
M03,平台登录桥接,bootstrap_content,documented,not_observed,partial,C3,critical,"AN-001;AN-002;SH-001","存在平台身份入口和会话交换职责","提供方回调、握手和错误处理","只能在用户明确监督且不退出当前会话时补证"
M04,服务器选择,bootstrap_content,documented,not_observed,none,C1,high,"AN-001;AN-002","存在可选服务区边界的架构线索","是否实际开放、选择状态和角色隔离","不切换服务区；以原创接口占位"
M05,本地化,bootstrap_content,documented,not_observed,none,C2,medium,"AN-001;AN-007","存在语言与资源变体职责","语言列表、回退、热切换和账号同步","在 BubbleMind 用原创本地化键和字体验证"
M06,首页与导航,product_shell,documented,observed,observed,C4,low,"AN-001;AN-002;SH-002;SH-006;LV-001;LV-008;LV-009","地图语境、资源、任务提示与功能路由分区；主入口组和次级入口组共享玩家摘要、资源、通知与全局导航外壳","加载态、入口开放规则、分组切换恢复和错误态","用原创 App Shell 验证入口分组、当前位置和统一返回路径"
M07,玩家档案与角色身份,product_shell,documented,not_observed,partial,C2,high,"AN-001;AN-003;SH-002;SH-006","玩家身份摘要与首页状态存在连接","档案字段、改名、等级和账号操作","不改名不切号；BubbleMind 仅用本地测试档案"
M08,角色收藏,character_content,documented,observed,observed,C4,low,"AN-001;AN-002;AN-003;SH-003;LV-002;LV-008;LV-009","持有实例列表支持基于定义标签的多类筛选，并可进入独立静态目录；重复实例不能按显示名称合并","全量目录、排序、空态和大数据性能","用原创角色定义与实例数据验证双视图、稳定 ID、筛选和空态"
M09,角色属性与详情,character_content,documented,observed,observed,C4,low,"AN-001;AN-003;SH-004;LV-003;LV-008;LV-009","静态定义与账号持有实例分离；详情保持角色身份稳定，并用任务分栏组合属性、技能、装备和成长读模型","外部派生公式、完整高级属性、未保存状态和错误态","BubbleMind 使用 characterId 加 instanceId 的原创组合读模型"
M10,角色养成,character_content,documented,observed,observed,C4,critical,"AN-001;AN-002;AN-003;SH-004;LV-003;LV-008;LV-009","多个成长分支各有独立只读视图、解锁信息和变更入口；页面与资源校验职责分离","成本曲线、重置、确认、成功反馈和失败恢复","不执行参考养成；用原创假数据验证预览与显式意图提交"
M11,装备,character_content,documented,observed,none,C4,high,"AN-001;AN-003;LV-009","装备页可组合静态装备定义、当前阶段效果、职业适配和变更入口；只读信息与状态修改按钮边界明确","槽位规则、成本、套装、比较、确认和失败交互","先以原创装备定义和实例实现只读比较，再接权威变更服务"
M12,技能,character_content,documented,observed,partial,C4,low,"AN-001;AN-003;AN-004;AN-006;LV-004;SH-004;LV-008;LV-009","技能说明按类型、当前状态、标签与解锁条件分层；高级能力分支可以修饰基础技能","外部完整公式、时间线、动画事件和全角色覆盖","保留中性结构字段，不把参考正文或精确数值写入运行时"
M13,队伍编成,team_battle,documented,partial,observed,C4,high,"AN-001;AN-002;AN-003;SH-005;LV-009","固定槽位、合法性校验和战斗入口职责；不同玩法模式可以声明不同队伍规模与候选约束","换位反馈、保存、推荐逻辑和实际模式校验错误","不改参考队伍；用 BubbleMind 原创队伍与模式定义测试"
M14,招募与抽取,gacha_economy,documented,observed,none,C4,critical,"AN-001;AN-002;AN-003;AN-005;LV-005;LV-006","池主题、成本、概率入口和揭示职责分离","外部概率、保底、池内容、重复转化与协议","只用原创概率和本地明确标注的 Demo 服务"
M15,背包与物品,gacha_economy,documented,not_observed,none,C2,high,"AN-001;AN-003;AN-007","物品、货币、材料和装备状态边界存在","分类、容量、使用、来源和过期规则","先建立原创 ItemDefinition 与只读列表"
M16,剧情关卡与PVE地图,team_battle,documented,partial,partial,C3,high,"AN-001;AN-002;AN-003;SH-002;SH-006;LV-009","首页可路由到多种 PVE 玩法入口；模式落地页可展示队伍类型、进度、奖励预览和规则说明","章节结构、体力、扫荡、实际波次内容和开放条件","不进入参考战斗；用原创阶段与模式定义验证"
M17,战斗核心,team_battle,documented,partial,none,C3,high,"AN-001;AN-002;AN-004;AN-007;LV-009","单位、目标、技能、状态、伤害和确定性边界清晰；模式规则可声明连续波次、跨波状态继承和终止条件","外部公式、AI、具体时间线、实际战斗表现和同步","以版本化原创模式契约驱动 BubbleMind 确定性模拟"
M18,战斗结算与奖励,team_battle,documented,partial,none,C3,high,"AN-001;AN-002;AN-003;AN-004;LV-009","结果、统计、奖励与后续导航职责存在；周期奖励资格、尝试规则和重置节奏应与战斗结果分离","奖励值、签名、失败重试、断线恢复和实际授予反馈","用无正式经济的测试结果与幂等资格服务验证"
M19,竞技与PVP,team_battle,documented,not_observed,partial,C2,critical,"AN-001;AN-003;SH-002;SH-006","首页存在竞争入口线索，架构包含对手和排行连接","匹配、赛季、防作弊、结算和奖励","不进入参考竞技；生产前必须后端设计"
M20,任务,retention_liveops,documented,not_observed,partial,C2,high,"AN-001;AN-002;AN-003;SH-002","首页可显示任务入口，架构包含目标和奖励","任务类型、进度事件、跳转和领取规则","用原创任务事件与幂等领取测试"
M21,成就,retention_liveops,partial,not_observed,none,C1,high,"AN-001;AN-003","仅有长期任务边界线索","页面、分类、进度、展示和奖励均未知","保持规格占位，不实现推测内容"
M22,每日奖励与日历,retention_liveops,documented,not_observed,none,C2,high,"AN-001;AN-002;AN-003","存在服务器时间、日历和周期奖励职责","重置时区、补签、连续奖励和领取行为","以测试时钟设计，不操作参考领取"
M23,活动,retention_liveops,documented,not_observed,partial,C2,high,"AN-001;AN-002;AN-003;SH-002;SH-006","首页活动入口与时间窗服务边界存在","活动类型、优先级、页面协议和奖励","先实现通用活动窗口注册表"
M24,邮件,retention_liveops,documented,not_observed,none,C2,high,"AN-001;AN-007","邮箱、附件和奖励连接存在","已读、删除、过期、批量领取和战报","不打开或领取参考邮件；后端接口占位"
M25,商店,gacha_economy,documented,not_observed,partial,C2,critical,"AN-001;AN-003;SH-002","首页存在商业入口，架构包含商品与限购","商品、价格、刷新、购买与错误态","不购买；仅设计原创只读商品卡"
M26,支付,gacha_economy,documented,not_observed,none,C1,critical,"AN-001;AN-005;AN-007","存在平台支付与后端验单职责","产品映射、回执、恢复购买和区域合规","P0 不实现；生产前独立安全评审"
M27,公会或联盟,social_competition,documented,not_observed,none,C1,critical,"AN-001","存在组织、成员、活动和资源的模块线索","加入退出、权限、贡献、战斗和聊天","保持规格占位，不操作参考社交状态"
M28,排行榜,social_competition,documented,not_observed,none,C2,low,"AN-001;AN-003","存在排行类别与档案查看连接","赛季、分页、奖励、作弊治理和隐私","只读原创假数据可先验证 UI"
M29,设置与账号选项,platform_support,documented,not_observed,none,C2,critical,"AN-001;AN-002","存在语言、音频、质量和账号操作边界","保存、云同步、退出、删除和恢复行为","不打开高风险账号动作；BubbleMind 分离本地偏好"
M30,好友与聊天,social_competition,documented,not_observed,none,C1,critical,"AN-001","存在好友、聊天、表情和网络连接线索","关系状态、发送、举报、屏蔽、审核和隐私","保持规格占位，生产前完成安全治理"
M31,引导与新手流程,platform_support,documented,not_observed,none,C2,high,"AN-001;AN-003","存在功能解锁、输入层和持久进度职责","步骤、跳过、断点、恢复和无障碍","用原创任务图验证，不推进参考进度"
M32,通知与公告,platform_support,documented,not_observed,partial,C2,medium,"AN-001;AN-002;SH-001","启动或首页存在公告入口职责","内容来源、链接、已读、推送和调度","只做原创本地公告，不触发外部链接"
M33,分析日志与归因,platform_support,documented,not_observed,none,C2,medium,"AN-001;AN-007;AN-008","存在错误、事件和平台桥接边界","事件表、上传、隐私同意、保留和支持流程","BubbleMind 默认本地日志；网络分析需另审"
M34,音频与特效表现,presentation,documented,not_observed,partial,C2,low,"AN-001;AN-004;AN-006;AN-007;SH-004","表现由 UI 或技能时间线触发并可池化","外部资源、预算、混音、降级和可访问设置","只用原创 VFX/SFX 与预算测试"
