evidence_id,evidence_type,source,observed_date,retention,status,scope,claim_class,notes
AN-001,analysis_document,analysis/architecture/module_inventory.csv,2026-07-15,read_only_reference,reviewed,system_boundaries,analysis,"36 个中性模块及依赖、入口、出口和可恢复性"
AN-002,analysis_document,analysis/architecture/game_flow.md,2026-07-15,read_only_reference,reviewed,end_to_end_flows,analysis,"启动、登录、首页、获取、抽取、养成、编成、战斗、奖励、重置和内容更新的通用流程"
AN-003,analysis_document,analysis/architecture/data_model.md,2026-07-15,read_only_reference,reviewed,generic_entities,analysis,"角色、技能、装备、编成、关卡、敌人、抽取、经济、任务、活动、商店和战斗结果的独立通用模式"
AN-004,analysis_document,analysis/architecture/battle_system.md,2026-07-15,read_only_reference,reviewed,battle_architecture,analysis,"确定性自动战斗、单位、时间线、目标、伤害、状态、重播和 UI 事件契约"
AN-005,analysis_document,analysis/architecture/gacha_system.md,2026-07-15,read_only_reference,reviewed,gacha_architecture,analysis,"客户端、后端、内容工具、保底、重复转化、揭示和失败态的通用职责"
AN-006,analysis_document,analysis/architecture/character_pipeline.md,2026-07-15,read_only_reference,reviewed,character_asset_pipeline,analysis,"原创 3D 角色的骨架、动作、插槽、材质预算、预制体、配置与验证契约"
AN-007,analysis_document,analysis/architecture/clean_room_unity_architecture.md,2026-07-15,read_only_reference,reviewed,unity_layering,analysis,"启动、服务、数据驱动内容、战斗、后端接口、内容交付和职责分离"
AN-008,analysis_document,analysis/architecture/missing_information.md,2026-07-15,read_only_reference,reviewed,recovery_limits,analysis,"明确未恢复的脚本体、协议、数值、概率、角色资产和外部实现细节"
SH-001,user_screenshot,user_provided_login_view,2026-07-15,not_retained,reviewed,login_entry,fact,"仅保留中性观察；原图不复制、不提交"
SH-002,user_screenshot,user_provided_home_view_a,2026-07-15,not_retained,reviewed,home_navigation,fact,"首页地图语境、资源区和功能入口；原图不保留"
SH-003,user_screenshot,user_provided_character_list,2026-07-15,not_retained,reviewed,character_collection,fact,"卡面列表与筛选层级；原图不保留"
SH-004,user_screenshot,user_provided_character_growth,2026-07-15,not_retained,reviewed,character_detail_growth,fact,"大角色视觉、属性、养成导航与技能摘要；原图不保留"
SH-005,user_screenshot,user_provided_prebattle_formation,2026-07-15,not_retained,reviewed,formation,fact,"双方编成与战前入口的中性结构；原图不保留"
SH-006,user_screenshot,user_provided_home_view_b,2026-07-15,not_retained,reviewed,home_navigation_variant,fact,"另一地图状态下的稳定首页层级；原图不保留"
LV-001,live_read_only,reference_window_home,2026-07-15,notes_only,observed,home_navigation,fact,"只读查看后恢复首页；未进行账号状态操作"
LV-002,live_read_only,reference_window_character_collection,2026-07-15,notes_only,observed,character_collection,fact,"只读查看角色列表；未养成、未改队"
LV-003,live_read_only,reference_window_character_detail,2026-07-15,notes_only,observed,character_detail,fact,"只读查看详情层级；未升级、未保存"
LV-004,live_read_only,reference_window_skill_detail,2026-07-15,notes_only,observed,skill_detail,fact,"只读查看技能说明结构；不保留专有文案和精确数值"
LV-005,live_read_only,reference_window_gacha,2026-07-15,notes_only,observed,gacha_entry,fact,"只读查看池入口；未抽取、未消费"
LV-006,live_read_only,reference_window_probability,2026-07-15,notes_only,observed,probability_entry,fact,"只确认概率说明入口和职责；不记录精确概率"
LV-007,live_read_only,reference_window_power_saving_mask,2026-07-15,notes_only,blocked,live_access_state,fact,"窗口处于自身省电遮罩，普通唤醒输入未能自动恢复；保持窗口开启且未重启或重新登录"
