asset_id,type,name,target_path,source_or_provenance,license,status,spec,evidence,last_updated
ART-PLACEHOLDER-CHARSET-001,procedural_3d_placeholder,P0 procedural character set,Assets/_Game/Scripts/Characters/ProceduralCharacterBuilder.cs,Original implementation created inside this project,Project-owned,verified_placeholder,PROJECT_PLAN.md section 6.1,Assets/_Game/Docs/VerificationReport.md,2026-07-13
ART-PLACEHOLDER-UI-001,runtime_ui_placeholder,P0 runtime UI,Assets/_Game/Scripts/UI,Original implementation created inside this project,Project-owned,verified_placeholder,PROJECT_PLAN.md sections 6.2-6.5,Assets/_Game/Docs/VerificationReport.md,2026-07-13
ART-PLACEHOLDER-VFX-001,procedural_vfx_placeholder,P0 combat presentation,Assets/_Game/Scripts/Core/DemoBattlePresenter.cs,Original implementation created inside this project,Project-owned,verified_placeholder,PROJECT_PLAN.md section 6.6,Assets/_Game/Docs/VerificationReport.md,2026-07-13
ART-SOURCE-UR-COSMIC-SLIME-001,concept_reference,Black Hole Slime reference,Assets/_Game/Art/Source/Characters/UR_CosmicSlime/BlackHoleSlime_Reference.png,"User-provided image; SHA256 BB6CAF3698C4DFADFA20B21EF470ECBB21D385519D0CE226C422CB034736AF6E","Rights origin pending; internal prototype only",approved_prototype_input,StudioOps/Specs/ART-CHAR-UR-COSMIC-SLIME-001.md,Artifacts/UR_CosmicSlime/source_manifest.json,2026-07-14
ART-CHAR-UR-COSMIC-SLIME-001,procedural_3d_character,Abyssal Singularity Slime,Assets/_Game/Art/Generated/UR_CosmicSlime,"Project-authored Blender 5.1 19k-triangle gelatin model with Blend Shapes plus project-owned URP Slime Toon/Black Hole shaders, VFX and three-point scene lighting; no paid asset purchase","Project-authored implementation; reference-image rights pending; internal prototype",verified_internal_prototype,StudioOps/Specs/ART-CHAR-UR-COSMIC-SLIME-001.md,"Artifacts/UR_CosmicSlime/Blender/geometry_audit.json; Artifacts/CatherineRealism/RageGenerate4.log; Artifacts/CatherineRealism/RagePlaySmoke.log; Artifacts/CatherineRealism/RageWindowsBuild.log; StudioOps/MILESTONES/2026-07-14_RAGE_THREE_SKILL_AND_CATHERINE_REALISM.md",2026-07-14
ART-ENV-BATTLE-ABYSSAL-OBSERVATORY-001,generated_environment_concept,Abyssal Observatory,Assets/_Game/Art/Generated/Environments/AbyssalObservatory,"User-directed OpenAI built-in GPT Image generation; soft-comic revision SHA256 187F2340106CD95636B9FCC34423BC76C52723EBE0105A5E4BE44B0375A1A7EC","Generated output; internal prototype pending final commercial-rights review",verified_internal_prototype,StudioOps/Specs/ART-ENV-BATTLE-ABYSSAL-OBSERVATORY-001.md,"Artifacts/SoftComicArt/; Artifacts/CatherineRework/WindowsBuildFinal.log",2026-07-14
ART-SOURCE-TEST-ELEMENTAL-SLIMES-001,concept_sheet,Five Element Basic Slime concept sheet,Assets/_Game/Art/Source/Characters/BasicElementSlimes/BasicElementSlimes_ConceptSheet.png,"User-directed OpenAI built-in GPT Image generation; SHA256 53D925A76F1FD2163066FADF0654FDA82C5CED25AC9E0AE1693057173D500FB9","Generated output; internal prototype pending final commercial-rights review",approved_prototype_input,StudioOps/Specs/ART-CHAR-TEST-ELEMENTAL-SLIMES-001.md,Artifacts/SoftComicArt/,2026-07-14
ART-CHAR-TEST-ELEMENTAL-SLIMES-001,procedural_3d_character_set,Five Element Basic Slimes,Assets/_Game/Art/Generated/BasicElementSlimes,"Project-authored Blender 5.1 procedural models guided by the registered GPT Image concept sheet","Project-authored implementation; generated concept rights pending final commercial-rights review",verified_internal_prototype,StudioOps/Specs/ART-CHAR-TEST-ELEMENTAL-SLIMES-001.md,"Artifacts/BasicElementSlimes/Blender/geometry_audit.json; Artifacts/CatherineRework/PlaySmokeFinal.log",2026-07-14
ART-UI-CHARACTER-PORTRAITS-001,generated_2d_character_card_set,BubbleMind Seven Character Portraits,Assets/_Game/Art/Generated/UI/Portraits,"User-directed OpenAI built-in GPT Image generation on 2026-07-15; seven original anime slime portraits; per-file SHA256 in asset spec","Generated output; internal prototype pending final commercial-rights review",verified_internal_prototype,StudioOps/Specs/ART-UI-CHARACTER-PORTRAITS-001.md,"Artifacts/CharacterPage/GenerateFinal.log; Artifacts/CharacterPage/PlaySmokeFinal.log; StudioOps/MILESTONES/2026-07-15_CHARACTER_PAGE_AND_CARD_ART.md",2026-07-15
ART-UI-FONT-NOTO-SANS-CJK-SC-001,third_party_font,Noto Sans CJK SC Regular,Assets/_Game/Resources/Fonts/NotoSansCJKsc-Regular.otf,"Noto Sans CJK 2.004 from official notofonts/noto-cjk GitHub; SHA256 2C76254F6FC379FDDFCE0A7E84FB5385BB135D3E399294F6EEB6680D0365B74B",SIL Open Font License 1.1,verified_third_party,Assets/_Game/Docs/ThirdPartyInventory.md,"Assets/_Game/ThirdParty/Fonts/NotoSansCJKsc/OFL.txt; Artifacts/CharacterPage/GenerateFinal.log",2026-07-15
