relationship_id,source_kind,source_id,relation,target_kind,target_id,authority,evidence_ids,certainty,notes
R001,page,P01_BOOT_UPDATE,initializes,system,M01,client,"AN-001;AN-002",analysis,"启动页触发最小启动服务"
R002,system,M01,requests,system,M02,hybrid,"AN-001;AN-002;AN-007",analysis,"启动比较本地与远程内容目录"
R003,system,M02,validates,entity,E25,content,"AN-001;AN-002;AN-007",analysis,"内容目录需版本和哈希校验"
R004,system,M01,routes_to,page,P02_LOGIN,client,"AN-002;SH-001",analysis,"无有效会话时进入登录"
R005,page,P02_LOGIN,delegates_to,system,M03,hybrid,"AN-001;AN-002;SH-001",analysis,"平台桥接返回不透明身份断言"
R006,system,M03,creates,entity,E01,backend,"AN-002;AN-007",inference,"正式会话由后端签发"
R007,page,P03_SERVER_SELECT,selects,entity,E02,backend,"AN-001;AN-002",analysis,"可选服务区决定加载哪个玩家档案"
R008,entity,E01,loads,entity,E02,backend,"AN-002;AN-007",inference,"会话建立后获取玩家快照"
R009,page,P04_HOME,routes_to,system,M08,presentation,"AN-001;AN-002;LV-001",fact,"首页提供角色收藏入口"
R010,page,P04_HOME,routes_to,system,M14,presentation,"AN-001;AN-002;LV-001",fact,"首页提供招募入口"
R011,page,P04_HOME,routes_to,system,M16,presentation,"AN-001;AN-002;SH-002;SH-006",analysis,"首页地图承载关卡或世界入口"
R012,page,P04_HOME,displays,entity,E27,presentation,"AN-001;AN-002",analysis,"提醒状态从业务状态派生"
R013,entity,E26,updates,system,M23,backend,"AN-002;AN-003",analysis,"服务器时间决定活动窗口"
R014,system,M20,derives,entity,E27,client,"AN-001;AN-002",inference,"可领取任务形成提醒"
R015,page,P06_CHARACTER_COLLECTION,reads,entity,E03,content,"AN-002;AN-003;LV-002;SH-003",fact,"列表用静态角色定义呈现身份"
R016,page,P06_CHARACTER_COLLECTION,reads,entity,E04,hybrid,"AN-002;AN-003;LV-002;SH-003",fact,"拥有状态来自玩家角色实例"
R017,page,P06_CHARACTER_COLLECTION,routes_to,page,P07_CHARACTER_DETAIL,presentation,"LV-002;LV-003",fact,"选择卡面进入详情"
R018,page,P07_CHARACTER_DETAIL,composes,entity,E03,content,"AN-003;LV-003",analysis,"详情组合静态定义"
R019,page,P07_CHARACTER_DETAIL,composes,entity,E04,hybrid,"AN-003;LV-003",analysis,"详情组合玩家动态状态"
R020,page,P07_CHARACTER_DETAIL,routes_to,page,P10_SKILL_DETAIL,presentation,"LV-003;LV-004",fact,"详情打开技能说明"
R021,page,P10_SKILL_DETAIL,reads,entity,E05,content,"AN-003;AN-004;LV-004",analysis,"技能文本和分类来自技能定义"
